Business,Shark,Invested Amount,Category,Entrepreneur Gender,Total Deals,Closed Deals,Percent Closed
Classroom Jams,Barbara Corcoran,50000,Children/Education,Male,102,62,0.607843137
Stress Free Kids,Barbara Corcoran,250000,Children/Education,Female,102,62,0.607843137
Coverplay,Barbara Corcoran,35000,Children/Education,Female,102,62,0.607843137
Body Jac,Barbara Corcoran,180000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
Pork Barrel BBQ Sauce,Barbara Corcoran,50000,Food and Beverage,Male,202,115,0.569306931
Treasure Chest Pets,Barbara Corcoran,50000,Pet Products,Female,43,25,0.581395349
Notehall,Barbara Corcoran,90000,Software/Tech,Male,63,34,0.53968254
Gayla Bentley Fashion,Barbara Corcoran,125000,Fashion/Beauty,Female,178,93,0.52247191
Chill Soda,Barbara Corcoran,50000,Food and Beverage,Male,202,115,0.569306931
Chef In Black,Barbara Corcoran,50000,Food and Beverage,Female,202,115,0.569306931
Grease Monkey Wipes,Barbara Corcoran,20000,Lifestyle/Home,Mixed Team,159,98,0.616352201
Lipstick Remix,Barbara Corcoran,35000,Fashion/Beauty,Female,178,93,0.52247191
Wurkin Stiffs,Barbara Corcoran,50000,Fashion/Beauty,Male,178,93,0.52247191
Tippi Toes,Barbara Corcoran,50000,Fitness/Sports/Outdoors,Female,101,60,0.594059406
Broccoli Wad,Barbara Corcoran,50000,Food and Beverage,Male,202,115,0.569306931
Ride-On Carry-On,Barbara Corcoran,50000,Travel,Mixed Team,11,5,0.454545455
Fridge Fronts,Barbara Corcoran,50000,Lifestyle/Home,Female,159,98,0.616352201
Daisy Cakes,Barbara Corcoran,50000,Food and Beverage,Female,202,115,0.569306931
Aldo Orta Jewelry,Barbara Corcoran,90000,Fashion/Beauty,Male,178,93,0.52247191
The Smart Baker,Barbara Corcoran,75000,Food and Beverage,Mixed Team,202,115,0.569306931
Nardo's Natural,Barbara Corcoran,75000,Fashion/Beauty,Male,178,93,0.52247191
Villy Customs,Barbara Corcoran,250000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
Boot Illusions,Barbara Corcoran,250000,Fashion/Beauty,Mixed Team,178,93,0.52247191
Wild Squirrel Nut Butter,Barbara Corcoran,50000,Food and Beverage,Female,202,115,0.569306931
Mix Bikini,Barbara Corcoran,50000,Fashion/Beauty,Male,178,93,0.52247191
Bev Buckle,Barbara Corcoran,50000,Food and Beverage,Male,202,115,0.569306931
Buggy Beds,Barbara Corcoran,50000,Lifestyle/Home,Female,159,98,0.616352201
Cousins Maine Lobster,Barbara Corcoran,55000,Food and Beverage,Male,202,115,0.569306931
Ice Chips Candy,Barbara Corcoran,62500,Food and Beverage,Female,202,115,0.569306931
The Coop,Barbara Corcoran,150000,Children/Education,Female,102,62,0.607843137
Pink Shutter Photo Booths,Barbara Corcoran,300000,Media/Entertainment,Male,23,14,0.608695652
KazAM Balancing Bike's,Barbara Corcoran,150000,Fitness/Sports/Outdoors,Female,101,60,0.594059406
Ryan's Barkery,Barbara Corcoran,25000,Pet Products,Male,43,25,0.581395349
Tom n Chee,Barbara Corcoran,300000,Food and Beverage,Male,202,115,0.569306931
Sweet Ballz,Barbara Corcoran,125000,Food and Beverage,Male,202,115,0.569306931
Veggie Mama Garden Pops,Barbara Corcoran,37500,Food and Beverage,Mixed Team,202,115,0.569306931
Grace & Lace Knitted Boot Socks,Barbara Corcoran,175000,Fashion/Beauty,Mixed Team,178,93,0.52247191
Southern Culture Artisan Foods,Barbara Corcoran,100000,Food and Beverage,Female,202,115,0.569306931
Iretron,Barbara Corcoran,50000,Software/Tech,Male,63,34,0.53968254
Hold Your Haunches,Barbara Corcoran,50000,Fashion/Beauty,Female,178,93,0.52247191
Cerebral Success,Barbara Corcoran,75000,Health/Wellness,Male,48,28,0.583333333
Pipsnacks,Barbara Corcoran,200000,Food and Beverage,Mixed Team,202,115,0.569306931
Hoppy Paws,Barbara Corcoran,100000,Lifestyle/Home,Female,159,98,0.616352201
Q-Flex,Barbara Corcoran,12500,Health/Wellness,Female,48,28,0.583333333
Scratch & Grain Baking Co,Barbara Corcoran,150000,Food and Beverage,Female,202,115,0.569306931
Fresh Patch,Barbara Corcoran,75000,Pet Products,Mixed Team,43,25,0.581395349
Boobypack,Barbara Corcoran,80000,Fashion/Beauty,Female,178,93,0.52247191
Frill,Barbara Corcoran,50000,Fashion/Beauty,Female,178,93,0.52247191
NeatCheeks,Barbara Corcoran,150000,Children/Education,Female,102,62,0.607843137
Zoom,Barbara Corcoran,100000,Lifestyle/Home,Female,159,98,0.616352201
the beebo,Barbara Corcoran,100000,Children/Education,Male,102,62,0.607843137
Loliware,Barbara Corcoran,300000,Food and Beverage,Female,202,115,0.569306931
Savvy Naturals,Barbara Corcoran,200000,Lifestyle/Home,Mixed Team,159,98,0.616352201
Piper Wei,Barbara Corcoran,50000,Fashion/Beauty,Female,178,93,0.52247191
Controlled Chaos,Barbara Corcoran,60000,Fashion/Beauty,Female,178,93,0.52247191
Bee Free Honee,Barbara Corcoran,70000,Food and Beverage,Female,202,115,0.569306931
Glace Cryotherapy,Barbara Corcoran,100000,Health/Wellness,Mixed Team,48,28,0.583333333
Vengo,Barbara Corcoran,1000000,Food and Beverage,Male,202,115,0.569306931
The Drip Drop,Barbara Corcoran,50000,Food and Beverage,Male,202,115,0.569306931
dollop gourmet,Barbara Corcoran,75000,Food and Beverage,Female,202,115,0.569306931
Creaproducts,Barbara Corcoran,200000,Fashion/Beauty,Female,178,93,0.52247191
The Spooner,Barbara Corcoran,200000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
Pete & Pedro,Barbara Corcoran,100000,Fashion/Beauty,Male,178,93,0.52247191
Raising Wild,Barbara Corcoran,100000,Fashion/Beauty,Female,178,93,0.52247191
Chi'lantro,Barbara Corcoran,600000,Food and Beverage,Male,202,115,0.569306931
Toor,Barbara Corcoran,250000,Lifestyle/Home,Male,159,98,0.616352201
Hand Out Gloves,Barbara Corcoran,300000,Fitness/Sports/Outdoors,Male,101,60,0.594059406
Grease Bags,Barbara Corcoran,75000,Lifestyle/Home,Female,159,98,0.616352201
Guard Llama,Barbara Corcoran,100000,Software/Tech,Male,63,34,0.53968254
Firdgetland,Barbara Corcoran,50000,Lifestyle/Home,Male,159,98,0.616352201
Third Wave Water,Barbara Corcoran,100000,Food and Beverage,Male,202,115,0.569306931
The Original Comfy,Barbara Corcoran,50000,Fashion/Beauty,Male,178,93,0.52247191
Modern Christmas Trees,Barbara Corcoran,100000,Lifestyle/Home,Male,159,98,0.616352201
iFork,Barbara Corcoran,100000,Lifestyle/Home,Male,159,98,0.616352201
The Dough Bar,Barbara Corcoran,300000,Food and Beverage,Mixed Team,202,115,0.569306931
Avocaderia,Barbara Corcoran,200000,Food and Beverage,Male,202,115,0.569306931
